site_event_id,site,category,event_site_url,start_date,end_date,images,organizer_name,address,city,state,event_description,prices,processed,created_at,updated_at,event_name,age_rating
34262,bilheteriadigital,nda,http://bilheteriadigital.com/alakazam-2022-10-de-dezembro,2022-12-10 22:00:00,nda,http://s3-sa-east-1.amazonaws.com/bilheteriadigital/eventos/34262a.jpg?1662038565,nda," Lagoa trevisan  ",Cuiabá,MT,," 100.00 , 150.00 ",true,2022-12-08,2022-12-08,ALAKAZAM 2022,
34887,bilheteriadigital,nda,http://bilheteriadigital.com/universo-paralello-16-27-de-dezembro,2022-12-27 22:00:00,nda,http://s3-sa-east-1.amazonaws.com/bilheteriadigital/eventos/34887a.jpg?1634754786,nda," Praia de Pratigi  ",Ituberá,BA,"<div class=""panel-body  informacoes-adicionais-evento"" style=""font-style: normal;"">
                        Qual a classificação do evento?<br>
<br>
Tendo em vista que o Universo Paralello Festival é um complexo de entretenimento com algumas áreas para o público de todas as idades, com diversos tipos de atrações, sua classificação indicativa é livre.<br>
<br>
A entrada de menores de 18 anos somente será permitida se comprovadamente acompanhados dos responsáveis legais, que deverão permanecer no local do evento enquanto o menor estiver presente. É necessário o preenchimento de ficha de comprometimento de responsabilidade ao menor. Esta determinação, assim como a classificação etária, está sujeita a alteração nos termos do alvará a ser expedido pelo Juiz de Direito da Vara da Infância, da Juventude e do Idoso.<br>
<br>
Crianças de qualquer idade pagam ingresso?<br>
<br>
Crianças até 12 anos completados não pagam ingresso. Acima dessa idade pagam normalmente.<br>
<br>
Cada ingresso só poderá ser transferido uma única vez, portanto, só transferia se tiver absoluta certeza que seu convidado irá ao evento, pois após transferido não poderá transferir de novo. Por tanto pedimos que preferencialmente os ingressos sejam transferidos próximo a data do evento,<br>
Na entrada caso tenha mais de um ingresso em seu nome não-validado, seu convidado poderá fazer uso do ingresso desde que com a sua presença fisica.<br>
                    </div>"," 1.480.00 , 1.480.00 , 2.960.00 ",true,2022-12-08,2022-12-08,UNIVERSO PARALELLO #16,
34903,bilheteriadigital,nda,http://bilheteriadigital.com/transfer-unitribos-aeroporto-salvador-universo-paralello-25-de-dezembro,2022-12-25 20:00:00,nda,http://s3-sa-east-1.amazonaws.com/bilheteriadigital/eventos/34903a.jpeg?1600290880,nda," Aeroporto Internacional de Salvador - Dep. Luís Ed  ",Ituberá,BA,"<div class=""panel-body  informacoes-adicionais-evento"" style=""font-style: normal;"">
                        - Após ser efetuada a compra ON-LINE o cliente deve efetuar o preenchimento do contrato, que deve ser obrigatoriamente preenchido em letra de forma. LINK <br>
<a href=""https://bit.ly/contratoup2022"">LINK CONTRATO</a><br>
 <br>
- O contratante tem que enviar uma copia da identidade (frente e verso) e o contrato ASSINADO para o e-mail: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""dfabadbeb1acb9baadaab1b6a9baadacb0afbeadbeb3bab3b3b09fb8b2beb6b3f1bcb0b2"">[email protected]</a> para confirmar a reserva<br>
- O contratante também devera enviar uma copia da identidade (frente e verso) dos seus acompanhantes (caso exista) e se responsabilizar em deixa-los cientes das condições e cláusulas do contrato.<br>
- No mesmo e-mail o contratante deve informar o horário de embarque no transfer para UP que esta na tabela em anexo no contrato.<br>
- Somente o pagamento + envio do contrato garante a reserva do trasfer universo paralello.<br>
- Se apresentar para o translado com antecedência mínima de 30 minutos no Stand ou para o receptivo da empresa no Aeroporto.<br>
<br>
HORÁRIOS DE IDA E VOLTA ESTÃO NO DOCUMENTO DO LINK DO CONTRATO<br>
<a href=""https://bit.ly/contratoup2022"">LINK CONTRATO</a><br>
<br>
Após ser efetuada a compra e somente após você tiver a CONFIRMAÇÃO E CERTEZA dos horários de seus Voos, o cliente deve imprimir e efetuar o preenchimento em letra de forma do contrato no link =&gt;  https://bit.ly/contratoup2022  Lembrando que, se houver alteração ou mudança no horário escolhido, será cobrada uma taxa de remarcação.<br>
<br>
O contratante tem que enviar o comprovante de pagamento, uma cópia da identidade (frente e verso) e o contrato ASSINADO para o e-mail: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""90e4e2f1fee3f6f5e2e5fef9e6f5e2e3ffe0f1e2f1fcf5fcfcffd0f7fdf1f9fcbef3fffd"">[email protected]</a> para confirmar a reserva. No mesmo e-mail o contratante deve informar o horário de embarque no transfer para UP que está na tabela em anexo no contrato.<br>
<br>
O contratante também deverá enviar uma cópia da identidade (frente e verso) dos seus acompanhantes (caso exista) e se responsabilizar em deixá-los cientes das condições e cláusulas do contrato, ou então, cada um dos acompanhantes deverá preencher um contrato individual.<br>
<br>
Somente o pagamento com envio do contrato garante a reserva do transfer.                    </div>"," 170.00 , 170.00 , 285.00 ",true,2022-12-08,2022-12-08,TRANSFER UNITRIBOS - AEROPORTO SALVADOR - UNIVERSO PARALELLO,
36392,bilheteriadigital,nda,http://bilheteriadigital.com/freedom-2022-16-de-dezembro,2022-12-16 20:00:00,nda,http://s3-sa-east-1.amazonaws.com/bilheteriadigital/eventos/36392a.jpg?1666703436,nda," Igreja Batista da Lagoinha  ",Ourinhos,SP,"<div class=""panel-body  informacoes-adicionais-evento"" style=""font-style: normal;"">
                        VEM AÍ A CONFERÊNCIA FREEDOM 2022 - MUITO LOUVOR E ADORAÇÃO!!!!!<br>
Agora serão três dias de eventos! Dias 16 a 18 de Dezembro de 2022.<br>
<br>
Já garantiu seu ingresso? Ele dá acesso para os três dias de conferência!<br>
Dia 16/12: início 20h00 / Encerramento às 23:30<br>
Dia 17/12: inicio 19h30 / Encerramento às 23:00<br>
Dia 18/12: inicio 19h00 / Encerramento às 22:30<br>
Local: Igreja Batista da Lagoinha - Ourinhos SP<br>
<br>
Atrações confirmadas:<br>
Felipe Valadão<br>
Mariana Valadão<br>
Charles Campos<br>
José Fernando<br>
Washington Dias<br>
Jhony Borin<br>
<br>
Teremos Vagas Limitadas de Estacionamentos Gratuitos.<br>
Teremos Lanchonete nos dias ativos de Conferência.<br>
<br>
Informações Ingressos;<br>
Os Tickets é valido para os 3 (três) dias de evento para apenas 1 (uma) pessoa.<br>
Ticket Ingresso Inteiro é valido para pessoas acima de 12 (doze) anos.<br>
Ticket Ingresso MEIA é valido somente para deficientes físicos e crianças até 12 (doze) anos.<br>
Recém Nascidos e Bebes até 5 anos acompanhados com os pais o ticket é FREE (Gratuito)                    </div>"," 25.00 , 12.50 ",true,2022-12-08,2022-12-08,FREEDOM 2022,
37837,bilheteriadigital,nda,http://bilheteriadigital.com/bloco-nojentos-pirdidos-18-de-fevereiro,2023-02-18 16:00:00,nda,http://s3-sa-east-1.amazonaws.com/bilheteriadigital/eventos/37837a.jpeg?1669135795,nda," PESQUEIRA  ",Pesqueira,PE,"<div class=""panel-body  informacoes-adicionais-evento"" style=""font-style: normal;"">
                        EVENTO: BLOCO NOJENTOS PIRDIDOS<br>
DATA: 18 E 19 DE FEVEREIRO 2023<br>
HORÁRIO: 14H<br>
LOCAL: PESQUEIRA<br>
SETOR: ÚNICO<br>
OPEN BAR: GUMMY, CERVEJA E BEBIDA SURPRESA<br>
OBS.: O INGRESSO DÁ ACESSO AOS DOIS DIAS DE EVENTO<br>
<br>
TROCA DE CAMISA: PRÓXIMO AO EVENTO A PRODUÇÃO DIVULGARÁ AS DATAS DE TROCA E LOCAL.<br>
<br>
COMPREI O INGRESSO PELO SITE / APLICATIVO, COMO VOU ENTRAR NO EVENTO?<br>
Basta apresentar o ingresso através do aplicativo da Bilheteria Digital. A validação é feita pelo código de barras. Lembre-se que não será aceito print do ingresso!<br>
<br>
Você também pode consultar outras dúvidas sobre ingressos na Central de Ajuda &gt; Ingressos.<br>
<br>
INFORMAÇÕES IMPORTANTES:<br>
<br>
· O ingresso é válido apenas para o local e setor indicado.<br>
<br>
· É proibido o acesso às dependências do evento de pessoas portando armas de qualquer tipo, caixas, foguetes, objetos cortantes ou contundentes ou outros que possam causar ferimentos a terceiros.<br>
<br>
· A entrada de alimentos e bebidas de quaisquer natureza é proibida.<br>
<br>
. Proibido o consumo de bebidas alcoólicas por menores de idade. <br>
<br>
· Observe a classificação do evento. <br>
<br>
· O titular do ingresso declara expressamente aceitar que sua imagem e áudio possam ser captados e gravados durante a realização do evento e cede de modo gratuito e definitivo, todos os direitos de imagem e áudio para todos os fins.<br>
<br>
· Não nos responsabilizamos por ingressos comprados a terceiros, ou seja, use sempre os canais oficias do evento.<br>
<br>
· Desconfie sempre de ingressos abaixo do valor de mercado e muita facilidade na compra.<br>
<br>
· Não compre ingressos a CAMBISTAS. <br>
<br>
· O ingresso é um título ao portador. Em caso de roubo, furto ou fenômeno da natureza, não reimprimimos ingresso.<br>
<br>
· Não dobre o ingresso e proteja o código de barra. Guarde em um local seco e seguro. <br>
<br>
Os valores dos ingressos nos pontos de venda físicos podem variar de acordo com a forma de pagamento. Lei: Lei 13.455/2017<br>
                    </div>"," 190.00 ",true,2022-12-08,2022-12-08,BLOCO NOJENTOS PIRDIDOS,
38027,bilheteriadigital,nda,http://bilheteriadigital.com/olinda-beer-2023-12-de-fevereiro,2023-02-12 10:00:00,nda,http://s3-sa-east-1.amazonaws.com/bilheteriadigital/eventos/38027a.jpeg?1670249180,nda," ÁREA EXTERNA - CENTRO DE CONVENÇÕES DE PE  ",Recife,PE,"<div class=""panel-body  informacoes-adicionais-evento"" style=""font-style: normal;"">
                        EVENTO: OLINDA BEER 2023<br>
DATA: 12 DE FEVEREIRO<br>
LOCAL: ÁREA EXTERNA DO CENTRO DE CONVENÇÕES<br>
HORÁRIO: 10H<br>
<br>
Obs: Os ingressos das edições que não aconteceram, irão valer para esta edição.<br>
<br>
SETORES:<br>
- VIP<br>
- OPEN BEER (OPEN BAR DE CERVEJA)<br>
- CAMAROTE SEU TITO (* Open Bar Premium: Whisky 12 anos, Gin Importado, Vodka Premium, Caipirosca do Seu Tito, Cerveja, água e refrigerante.)<br>
<br>
TROCA DE CAMISA: NA SEMANA QUE ANTECEDE O EVENTO. (MAIS INFORMAÇÕES EM BREVE)<br>
<br>
CLASSIFICAÇÃO: PROIBIDA A ENTRADA DE MENOR DESACOMPANHADO DOS PAIS OU RESPONSÁVEL LEGAL<br>
<br>
COMPREI O INGRESSO PELO SITE / APLICATIVO, COMO VOU ENTRAR NO EVENTO?<br>
Basta apresentar o ingresso através do aplicativo da Bilheteria Digital. A validação é feita pelo código de barras. Lembre-se que não será aceito print do ingresso!<br>
<br>
Você também pode consultar outras dúvidas sobre ingressos na Central de Ajuda &gt; Ingressos.<br>
<br>
INFORMAÇÕES IMPORTANTES:<br>
<br>
· O ingresso é válido apenas para o local e setor indicado.<br>
<br>
· É proibido o acesso às dependências do evento de pessoas portando armas de qualquer tipo, caixas, foguetes, objetos cortantes ou contundentes ou outros que possam causar ferimentos a terceiros.<br>
<br>
· A entrada de alimentos e bebidas de quaisquer natureza é proibida.<br>
<br>
. Proibido o consumo de bebidas alcoólicas por menores de idade. <br>
<br>
· Observe a classificação do evento. <br>
<br>
· O titular do ingresso declara expressamente aceitar que sua imagem e áudio possam ser captados e gravados durante a realização do evento e cede de modo gratuito e definitivo, todos os direitos de imagem e áudio para todos os fins.<br>
<br>
· Não nos responsabilizamos por ingressos comprados a terceiros, ou seja, use sempre os canais oficias do evento.<br>
<br>
· Desconfie sempre de ingressos abaixo do valor de mercado e muita facilidade na compra.<br>
<br>
· Não compre ingressos a CAMBISTAS. <br>
<br>
· O ingresso é um título ao portador. Em caso de roubo, furto ou fenômeno da natureza, não reimprimimos ingresso.<br>
<br>
· Não dobre o ingresso e proteja o código de barra. Guarde em um local seco e seguro. <br>
<br>
Os valores dos ingressos nos pontos de venda físicos podem variar de acordo com a forma de pagamento. Lei: Lei 13.455/2017<br>
<br>
                    </div>"," 80.00 , 230.00 , 420.00 ",true,2022-12-08,2022-12-08,OLINDA BEER 2023,
38296,bilheteriadigital,nda,http://bilheteriadigital.com/satyagraha-a-filosofia-de-gandhi-10-de-dezembro,2022-12-10 22:00:00,nda,http://s3-sa-east-1.amazonaws.com/bilheteriadigital/eventos/38296a.jpg?1637169799,nda," Recanto Raio de Luz  ",Abadia de Goiás,GO,," 65.00 ",true,2022-12-08,2022-12-08,SATYAGRAHA: A FILOSOFIA DE GANDHI,
40244,bilheteriadigital,nda,http://bilheteriadigital.com/camarote-rio-2023-17-de-fevereiro,2023-02-17 20:00:00,nda,http://s3-sa-east-1.amazonaws.com/bilheteriadigital/eventos/40244a.png?1666015600,nda," Sapucaí  ",Rio de Janeiro,RJ,"<div class=""panel-body  informacoes-adicionais-evento"" style=""font-style: normal;"">
                        *INGRESSO PESSOAL E INTRASNFERÍVEL<br>
*Classificação: 18 anos<br>
                    </div>"," 1.445.00 , 2.445.00 , 2.145.00 , 2.145.00 ",true,2022-12-08,2022-12-08,CAMAROTE RIO 2023,
41716,bilheteriadigital,nda,http://bilheteriadigital.com/meu-carnaval-2023-11-de-fevereiro,2023-02-11 12:00:00,nda,http://s3-sa-east-1.amazonaws.com/bilheteriadigital/eventos/41716a.jpg?1670281792,nda," PÁTIO DE EVENTOS CARUARU  ",Caruaru,PE,"<div class=""panel-body  informacoes-adicionais-evento"" style=""font-style: normal;"">
                        EVENTO: MEU CARNAVAL 2023<br>
DATA: 11 DE FEVEREIRO<br>
HORÁRIO: 12h<br>
LOCAL: PÁTIO DE EVENTOS CARUARU<br>
<br>
Observe atentamente as regras sanitárias do seu evento.<br>
<br>
COMPREI O INGRESSO PELO SITE / APLICATIVO, COMO VOU ENTRAR NO EVENTO?<br>
Basta apresentar o ingresso através do aplicativo da Bilheteria Digital. A validação é feita pelo código de barras. Lembre-se que não será aceito print do ingresso!<br>
<br>
Você também pode consultar outras dúvidas sobre ingressos na Central de Ajuda &gt; Ingressos.<br>
<br>
INFORMAÇÕES IMPORTANTES:<br>
<br>
· O ingresso é válido apenas para o local e setor indicado.<br>
<br>
· É proibido o acesso às dependências do evento de pessoas portando armas de qualquer tipo, caixas, foguetes, objetos cortantes ou contundentes ou outros que possam causar ferimentos a terceiros.<br>
<br>
· A entrada de alimentos e bebidas de quaisquer natureza é proibida.<br>
<br>
. Proibido o consumo de bebidas alcoólicas por menores de idade. <br>
<br>
· Observe a classificação do evento. <br>
<br>
· O titular do ingresso declara expressamente aceitar que sua imagem e áudio possam ser captados e gravados durante a realização do evento e cede de modo gratuito e definitivo, todos os direitos de imagem e áudio para todos os fins.<br>
<br>
· Não nos responsabilizamos por ingressos comprados a terceiros, ou seja, use sempre os canais oficias do evento.<br>
<br>
· Desconfie sempre de ingressos abaixo do valor de mercado e muita facilidade na compra.<br>
<br>
· Não compre ingressos a CAMBISTAS. <br>
<br>
· O ingresso é um título ao portador. Em caso de roubo, furto ou fenômeno da natureza, não reimprimimos ingresso.<br>
<br>
· Não dobre o ingresso e proteja o código de barra. Guarde em um local seco e seguro. <br>
<br>
Os valores dos ingressos nos pontos de venda físicos podem variar de acordo com a forma de pagamento. Lei: Lei 13.455/2017<br>
                    </div>"," 60.00 , 100.00 , 220.00 ",true,2022-12-08,2022-12-08,MEU CARNAVAL 2023,
41795,bilheteriadigital,nda,http://bilheteriadigital.com/american-party-14-de-janeiro,2023-01-14 19:00:00,nda,http://s3-sa-east-1.amazonaws.com/bilheteriadigital/eventos/41795a.jpeg?1650684969,nda," A DEFINIR  ",Recife,PE,"<div class=""panel-body  informacoes-adicionais-evento"" style=""font-style: normal;"">
                        EVENTO: AMERICAN PARTY RECIFE<br>
DATA: 14 DE JANEIRO<br>
HORÁRIO: 19H <br>
LOCAL: RECIFE<br>
CLASSIFICAÇÃO: 18 ANOS<br>
<br>
<br>
COMPREI O INGRESSO PELO SITE / APLICATIVO, COMO VOU ENTRAR NO EVENTO?<br>
Basta apresentar o ingresso através do aplicativo da Bilheteria Digital. A validação é feita pelo código de barras. Lembre-se que não será aceito print do ingresso!<br>
<br>
Você também pode consultar outras dúvidas sobre ingressos na Central de Ajuda &gt; Ingressos.<br>
<br>
INFORMAÇÕES IMPORTANTES:<br>
<br>
 - Todo ingresso só pode ser transferido uma única vez.<br>
Como transferir o ingresso?<br>
   https://bilheteriadigital.zendesk.com/hc/pt-br/articles/360035741791-Como-transferir-um-ingresso-<br>
<br>
· O ingresso é válido apenas para o local e setor indicado.<br>
<br>
· É proibido o acesso às dependências do evento de pessoas portando armas de qualquer tipo, caixas, foguetes, objetos cortantes ou contundentes ou outros que possam causar ferimentos a terceiros.<br>
<br>
· A entrada de alimentos e bebidas de quaisquer natureza é proibida.<br>
<br>
. Proibido o consumo de bebidas alcoólicas por menores de idade. <br>
<br>
· Observe a classificação do evento. <br>
<br>
· O titular do ingresso declara expressamente aceitar que sua imagem e áudio possam ser captados e gravados durante a realização do evento e cede de modo gratuito e definitivo, todos os direitos de imagem e áudio para todos os fins.<br>
<br>
· Não nos responsabilizamos por ingressos comprados a terceiros, ou seja, use sempre os canais oficias do evento.<br>
<br>
· Desconfie sempre de ingressos abaixo do valor de mercado e muita facilidade na compra.<br>
<br>
· Não compre ingressos a CAMBISTAS. <br>
<br>
· O ingresso é um título ao portador. Em caso de roubo, furto ou fenômeno da natureza, não reimprimimos ingresso.<br>
<br>
· Não dobre o ingresso e proteja o código de barra. Guarde em um local seco e seguro. <br>
<br>
Os valores dos ingressos nos pontos de venda físicos podem variar de acordo com a forma de pagamento. Lei: Lei 13.455/2017<br>
                    </div>"," 50.00 , 100.00 , 80.00 , 160.00 ",true,2022-12-08,2022-12-08,AMERICAN PARTY,
